0
가
게
가격
가구
가깝
다
가
다
가르치
다
가방
가볍
다
가수
가요
가운데
가
을
가장
가족
가지
가지
다
갈비
갈비탕
갈아타
다
감
감기
감사
값
같
다
같이
개
개
거기
거실
건강
건너편
건물
걷
다
걸
다
걸리
다
것
게임
겨울
계속
계속
계시
다
계절
계획
고기
고르
다
고맙
다
고양이
고프
다
고향
곳
공부
공원
공책
공항
과일
괜찮
다
교실
교통
구
구
구경
구두
구십
구십
구월
국적
권
귀
귤
그래서
그
그것
그래
그래서
그러니까
그러면
그런데
그럼
그럼
그렇
다
그렇지만
그릇
그리고
그리
다
그림
그저께
그저께
그쪽
극장
근처
글
글쎄요
금요일
기간
기다리
다
기분
기쁘
다
기숙사
기차
길
길
다
김밥
김치
김치찌개
깨끗
하
다
꼭
꽃
끄
다
끝나
다
나
나
나가
다
나
다
나라
나무
나쁘
다
나오
다
나중
날
날
날씨
날짜
남대문
남동생
남산
남자
남편
낮
낮
다
내
내년
내리
다
내일
내일
냉면
너
너무
넓
다
넣
다
네
네
넷
년
노래
노래방
놀
다
농구
높
다
누구
누나
눈
눈
뉴스
늦
다
늦
다
다
다
다녀오
다
다니
다
다르
다
다른
다리
다섯
다섯
다시
다음
단어
닫
다
달
달
달
다
담배
대답
대사관
대학
대학교
대학생
대화
더
덥
다
도서관
도와주
다
도착
독일
돈
돌아가
다
돌아오
다
돕
다
동대문
동생
동안
되
다
된장찌개
두
둘
뒤
드라마
드리
다
듣
다
들
다
들
다
들어가
다
들어오
다
등산
따뜻
하
다
딸
딸기
때
떡볶이
또
라면
러시아
마리
마시
다
마음
마흔
마흔
만
만
만나
다
만들
다
많
다
많이
말
말
다
말레이시아
말씀
맑
다
맛
맛없
다
맛있
다
맞
다
매일
매일
맵
다
머리
먹
다
먼저
먼저
멀
다
멋있
다
메뉴
며칠
명
몇
몇
모두
모두
모레
모레
모르
다
모자
목
목요일
목욕탕
몸
못
못하
다
못
하
다
몽골
무겁
다
무슨
무엇
문
문화
묻
다
물
물건
뭐
미국
미안
미용실
밑
바꾸
다
바나나
바다
바람
바로
바쁘
다
바지
박물관
밖
반
반
반갑
다
받
다
발
밤
밥
방
방학
배
배
배
배우
배우
다
백
백
백만
백만
백화점
버스
번
번호
베트남
별로
병
병
병원
보내
다
보다
보다
보통
보통
볼펜
봄
부르
다
부모
님
부산
부엌
부탁
분
분
보
ㄹ
불고기
불
다
비
비빔밥
비싸
다
비행기
빌리
다
빠르
다
빨리
빵
사
사
사과
사귀
다
사
다
사람
사랑
사무실
사십
사십
사용
사월
사이
사이다
사전
사진
살
ㄴ
산책
살
ㄹ
살
다
삼
삼
삼계탕
삼십
삼십
삼월
생각
생신
생일
생활
샤워
서른
서른
서울
서점
선물
선생님
설명
세
세수
셋
소개
소금
손
손님
쇼핑
수박
수업
수영
수영장
수요일
수첩
숙제
술
쉬
다
쉽
다
슈퍼마켓
스물
스키
슬프
다
시
시
시간
시간
시
이
다
시원
하
다
시월
시작
시장
시청
시키
다
시험
식당
식사
신
다
신문
신발
실례
싫
다
싫어하
다
십
십
십만
십만
십이월
십일월
싱겁
다
싸
다
쓰
다
쓰
다
쓰
다
씨
씻
다
아
아기
아내
아니
다
아니요
아래
아르바이트
아름답다
아버지
아이
아이스크림
아저씨
아주
아주머니
아직
아침
아파트
아프
다
아홉
아홉
아흔
아흔
안
안
안경
안내
안녕
안녕히
앉
다
알
다
알리
다
앞
야구
약
약
약국
약속
어느
어디
어떤
어떻
다
어렵
다
어머니
어서
어제
어제
억
억
언니
언제
언제
얼굴
얼마
얼마나
없
다
에어컨
여권
여기
여덟
여덟
여동생
여든
여든
여러
여러분
여름
여보세요
여섯
여섯
여자
여행
여행사
역
연극
연습
연필
열
열
열
다
열쇠
열심히
영
영국
영어
영화
영화관
영화배우
옆
예
예쁘
다
오
오
오늘
오늘
오
다
오렌지
오른쪽
오빠
오십
오십
오월
오전
오후
올라가
다
올해
옷
오
아
왜
외국
외국어
외국인
왼쪽
요리
요일
요즘
우리
우산
우유
우체국
우표
운동
운동장
운동화
운전
울
다
웃
다
원
월
월
월요일
위
유명
유월
육
육
육십
육십
은행
음
음료수
음식
음악
의사
의자
이
이
이
이
이것
이따가
이름
이번
이십
이십
이야기
이월
이유
이쪽
인도네시아
인분
인사
인천
인터넷
일
일
일
일
일
일곱
일곱
일본
일어나
다
일요일
일월
일주일
일찍
일흔
일흔
읽
다
입
입
다
있
다
있다
자
다
자동차
자전거
자주
작년
작
다
자
ㄴ
잘
잘못
잘못
잘
하
다
잠
잠깐
잠깐
잠시
잠시
잡수시
다
잡채
장소
재미없
다
재미있
다
저
저
저
저
저것
저기
저녁
저쪽
적
다
전
전
전공
전화
전화번호
점심
정류장
정말
정말
제
제일
제일
제주도
조금
조금
조용
하
다
졸업
좀
종업원
좋
다
좋아하
다
죄송
하
다
주
주
주
다
주로
주말
주무시
다
주부
주소
주스
주인
주일
주일
준비
중
중국
지갑
지금
지금
지나
다
지난달
지난주
지난해
지내
다
지우개
지하철
지하철역
직업
직원
질문
집
짜
다
쪽
찍
다
참
참외
창문
찾
다
찾아보
다
책
책상
처음
천
천
천만
천만
천만
천천히
청소
초대
초콜릿
추
다
축구
축하
출발
춤
춤추
다
춥다
취미
층
치
다
치마
친구
친절
친하
다
칠
칠
칠십
칠십
칠월
칠판
침대
카드
카메라
캐나다
커피
커피숍
컴퓨터
컵
